Admin1Name,Admin2Name,dhs_Stunting,dhs_Stunting_U_UI,dhs_Stunting_L_UI,dhs_Wasting,dhs_Wasting_U_UI,dhs_Wasting_L_UI,dhs_Underweight,dhs_Underweight_U_UI,dhs_Underweight_L_UI,Admin2,location_id,has_aggregate_data,adm1,adm0,ihme_Stunting,ihme_Stunting_Upper,ihme_Stunting_Lower,ihme_Wasting,ihme_Wasting_Upper,ihme_Wasting_Lower,ihme_UnderW,ihme_UnderW_Upper,ihme_UnderW_Lower
Central,Mumbwa,30.2,32.7,27.5,5.2,8.3,2.9,10.1,12.3,8.3,Mumbwa,5001255,TRUE,Central,Zambia,39.5175,62.1532,22.4366,5.59009,10.9175,2.52381,10.5749,17.6449,5.55249
Northern,Mungwi,40.9,44.4,37.1,3.2,5.5,1.7,14,17,11.6,Mungwi,8008255,TRUE,Northern,Zambia,50.5247,67.2357,33.4412,5.74359,10.0056,2.69499,16.5967,25.2871,9.74474
Luapula,Mwense,43.1,47.6,39.1,4.3,8,1.9,14.6,18.2,11.6,Mwense,5004255,TRUE,Luapula,Zambia,52.6937,71.7834,35.1326,6.24772,11.2571,2.95422,17.0891,27.4085,9.37211
North-Western,Mwinilunga,36.8,42.2,32,3.6,6.6,1.7,13.6,17.6,10.2,Mwinilunga,5007255,TRUE,North-Western,Zambia,46.2367,65.0914,29.9384,6.16844,10.7731,2.94383,14.3741,23.4783,7.58925
Northern,Nakonde,37.6,42.3,33.1,6.8,11.8,3.5,14.1,17.9,10.8,Nakonde,5006255,TRUE,Muchinga,Zambia,48.3434,67.0951,32.7668,5.41646,9.50418,2.71162,13.8473,22.9758,7.86795
Southern,Namwala,30,33.2,26.9,3.1,5.8,1.4,10.1,12.5,8.1,Namwala,9009255,TRUE,Southern,Zambia,43.1426,61.7007,26.9259,6.50932,11.4286,3.39959,13.3339,22.1069,7.28515
Luapula,Nchelenge,44.2,48.5,39.6,5.7,9.9,3,15.6,19.5,12.3,Nchelenge,6004255,TRUE,Luapula,Zambia,46.2008,65.3474,29.2576,6.03332,10.7124,2.89379,15.1926,25.4099,7.87469
Copperbelt,Ndola,32.2,36.8,27.9,4.8,8.3,2.6,12.3,15.8,9.4,Ndola,10002255,TRUE,Copperbelt,Zambia,39.3218,59.1591,21.7929,5.29438,9.88447,2.43807,11.4775,20.3,6.01977
Eastern,Nyimba,32.3,35.9,28.8,3.3,6.1,1.5,11.5,14.4,9.1,Nyimba,6003255,TRUE,Eastern,Zambia,52.2669,70.2314,34.9506,6.3031,10.9271,3.05113,13.2878,21.5,7.48907
Eastern,Petauke,33.6,36.9,30.3,2.5,4.5,1.4,10.7,13.3,8.5,Petauke,7003255,TRUE,Eastern,Zambia,52.2039,68.2882,35.9376,6.18286,11.1112,3.13156,12.4327,19.8885,6.59419
Luapula,Samfya,44.2,48.4,40.5,3.9,6.9,2,14.9,18,12.2,Samfya,7004255,TRUE,Luapula,Zambia,48.2846,68.7612,31.0543,5.908,10.733,2.72578,15.091,24.2551,8.63681
Western,Senanga,29.1,33.2,25.2,3,5.4,1.5,13,16.4,10.1,Senanga,5010255,TRUE,Western,Zambia,46.2979,64.587,29.1087,6.68354,11.6417,3.39375,15.2029,23.9839,8.37023
Central,Serenje,37.2,40.7,33.9,3.6,6.8,1.8,13.1,16,10.4,Serenje,6001255,TRUE,Central,Zambia,45.4382,64.3461,28.4828,6.03966,10.4556,3.19794,12.5469,20.0361,7.21978
Western,Sesheke,27.4,31.1,23.4,4.7,8.8,2.1,11.7,15,8.9,Sesheke,6010255,TRUE,Western,Zambia,47.0346,66.1733,28.3821,7.61272,13.0979,3.81817,17.0354,27.2569,8.46329
Western,Shang’ombo,28.4,32.7,24.3,3.3,6.5,1.5,12.9,16.6,9.9,Shangombo,7010255,TRUE,Western,Zambia,39.7238,59.413,22.2192,6.06137,11.1693,2.87444,13.0309,22.2669,6.56361
Southern,Siavonga,30.5,34.6,26.7,5,10.6,1.9,11.1,14.2,8.5,Siavonga,10009255,TRUE,Southern,Zambia,44.3208,63.4812,28.1812,5.94245,10.0674,2.86068,13.718,22.184,6.9224
Southern,Sinazongwe,29,32.8,25.1,2.7,5.8,1,10.5,13.4,8,Sinazongwe,11009255,TRUE,Southern,Zambia,42.5563,60.223,27.2611,7.48336,13.3721,3.69826,14.402,24.0324,7.23621
North-Western,Solwezi,34.9,38.9,31,3.6,6.5,1.9,12,15,9.6,Solwezi,6007255,TRUE,North-Western,Zambia,45.251,62.5337,29.754,6.21222,10.3672,3.20652,13.3562,21.7825,6.82168
North-Western,Zambezi,31.2,35.8,27.1,2.8,5.6,1.1,12.2,15.7,9.3,Zambezi,7007255,TRUE,North-Western,Zambia,46.5774,63.9527,30.2304,6.76747,11.6208,3.4079,15.4989,24.5337,8.08367
